ID;ID_etude;couche_materiel;UA;carre;numero;auteur;support;technotypo;mp;taxon;traces_anthrop;faune_brulee
K22-3;1;11;UA 4a;K22;3;AS;Lame;Grattoirs simples sur support retouché;Sénonien blond;;;
K22-32;2;11;UA 4a;K22;32;AS;Lame;Grattoirs simples;Indéterminée;;;
K22-34;3;11;UA 4a;K22;34;AS;Lame;Grattoirs simples;Sénonien blond;;;
K23-268;4;11;UA 4a;K23;268;AS;Lame;Grattoirs simples sur support retouché;Chalosse ?;;;
K25-157;6;11;UA 4a;K25;157;AS;Lame;Grattoirs simples;Chalosse ?;;;
K25-508;7;11;UA 4a;K25;508;AS;Lame;Grattoirs simples;Sénonien gris/noir ?;;;
K25-517;8;11;UA 4a;K25;517;AS;Lame;Grattoirs simples sur support retouché;Sénonien blond;;;
J23-5;9;11;UA 4a;J23;5;AS;Lame;Grattoirs simples sur support retouché;Indéterminée;;;
J23-19;10;11;UA 4a;J23;19;AS;Lame;Grattoirs simples sur support retouché;Sénonien;;;
J25-61;11;11;UA 4a;J25;61;AS;Lame;Grattoirs simples sur support retouché;Indéterminée;;;
J25-73;12;11;UA 4a;J25;73;AS;Lame;Grattoirs simples;Indéterminée;;;
?-67;13;11;UA 4a;?;67;AS;Lame;Grattoirs simples;Grain de mil;;;
K23-312;14;13c;UA 4c;K23;312;AS;Lame;Grattoirs doubles;Sénonien;;;
J23-179;15;13c;UA 4c;J23;179;AS;Lame;Outils composites;Sénonien gris/noir;;;
J24-62;16;11;UA 4a;J24;62;AS;Lame;Grattoirs simples;Sénonien blond ?;;;
J23-121;17;11;UA 4a;J23;121;AS;Lame;Outils composites;Chalosse;;;
K23-88;18;11;UA 4a;K23;88;AS;Lame;Outils composites;Aurillac;;;
K23-251;19;11;UA 4a;K23;251;AS;Lame;Outils composites;Indéterminée;;;
K23-371;20;11;UA 4a;K23;371;AS;Lame;Outils composites;Bergeracois ?;;;
K24-94;22;11;UA 4a;K24;94;AS;Lame;Outils composites;Sénonien blond ?;;;
K24-106;23;11;UA 4a;K24;106;AS;Lame;Outils composites;Grand Pressigny;;;
K25-130;24;11;UA 4a;K25;130;AS;Lame;Outils composites;Aurillac ?;;;
K25-510;25;11;UA 4a;K25;510;AS;Lame;Outils composites;Bergeracois;;;
sondage-66;26;11;UA 4a;sondage;66;AS;Éclat laminaire;Grattoirs simples;Indéterminée;;;
?-90;27;11;UA 4a;?;90;AS;Lame;Perçoirs/Becs;Aurillac ?;;;
K25-82;28;11;UA 4a;K25;82;AS;Petite lame;Perçoirs/Becs;Sénonien blond;;;
K25-271;29;11;UA 4a;K25;271;AS;Lame;Perçoirs/Becs;Sénonien blond;;;
?-117;30;11;UA 4a;?;117;AS;Indéterminé;Fragments d'outils;Indéterminée;;;
J26-502;31;11;UA 4a;J26;502;AS;Indéterminé;Fragments d'outils;Aurillac ?;;;
?-94;32;11;UA 4a;?;94;AS;Indéterminé;Fragments d'outils;Sénonien;;;
J23-18;33;11;UA 4a;J23;18;AS;Éclat;Outils composites;Sénonien;;;
?-106;34;11;UA 4a;?;106;AS;Indéterminé;Burins dièdres;Sénonien blond ?;;;
J20-19;35;11;UA 4a;J20;19;AS;Éclat laminaire;Burins dièdres;Sénonien gris/noir;;;
J23-40;36;11;UA 4a;J23;40;AS;Éclat;Burins dièdres;Sénonien blond;;;
J23-118;37;11;UA 4a;J23;118;AS;Éclat laminaire;Burins dièdres;Indéterminée;;;
J24-48;38;11;UA 4a;J24;48;AS;Éclat laminaire;Burins dièdres;Sénonien blond ?;;;
J24-78;39;11;UA 4a;J24;78;AS;Lame;Burins dièdres;Sénonien blond ?;;;
J24-88;40;11;UA 4a;J24;88;AS;Lame;Burins dièdres;Grand Pressigny;;;
J25-55;41;11;UA 4a;J25;55;AS;Lame;Burins dièdres;Aurillac;;;
J25-62;42;11;UA 4a;J25;62;AS;Lame;Burins dièdres;Chalosse ?;;;
J25-110;43;11;UA 4a;J25;110;AS;Lame;Burins dièdres;Sénonien gris/noir;;;
J25-113;44;11;UA 4a;J25;113;AS;Éclat laminaire;Burins dièdres;Sénonien blond;;;
K23-48;45;11;UA 4a;K23;48;AS;Lame;Burins dièdres;Sénonien gris/noir;;;
K23-79;46;11;UA 4a;K23;79;AS;Lame;Burins dièdres;Berg/SN?;;;
K23-80;47;11;UA 4a;K23;80;AS;Lame;Autres burins;Sénonien;;;
K23-95;48;11;UA 4a;K23;95;AS;Lame;Autres burins;Sénonien blond ?;;;
K23-256;49;11;UA 4a;K23;256;AS;Lame;Burins dièdres;Aurillac;;;
K24-217;50;11;UA 4a;K24;217;AS;Lame;Autres burins;Sénonien blond ?;;;
K24-100;51;11;UA 4a;K24;100;AS;Lame;Autres burins;Sénonien ?;;;
K24-104;52;11;UA 4a;K24;104;AS;Lame;Burins dièdres;Bergeracois;;;
K24-95;53;11;UA 4a;K24;95;AS;Lame;Burins dièdres;Tertiaire;;;
K23-93;54;11;UA 4a;K23;93;AS;Éclat laminaire;Burins dièdres;Fumélois;;;
K25-188;55;11;UA 4a;K25;188;AS;Éclat laminaire;Burins dièdres;Aurillac;;;
K23-277;56;11;UA 4a;K23;277;AS;Lame;Burins dièdres;Turonien inférieur Cher;;;
K24-113;57;11;UA 4a;K24;113;AS;Éclat;Burins dièdres;Aurillac;;;
sondage-72;58;11;UA 4a;sondage;72;AS;Lame;Burins dièdres;Sénonien blond ?;;;
K26-178;59;11;UA 4a;K26;178;AS;Lame;Burins dièdres;Aurillac;;;
?-102;60;11;UA 4a;?;102;AS;Éclat lamellaire;Outils composites;Aurillac;;;
K24-223;61;11;UA 4a;K24;223;AS;Lame;Burins dièdres;Aurillac ?;;;
K25-143;62;11;UA 4a;K25;143;AS;Petite lame;Burins sur troncature;Aurillac ?;;;
K25-509;63;11;UA 4a;K25;509;AS;Lame;Burins sur troncature;Sénonien;;;
J24-47;64;11;UA 4a;J24;47;AS;Lame;Burins dièdres;Aurillac;;;
J24-86;65;11;UA 4a;J24;86;AS;Lame;Burins dièdres;Indéterminée;;;
J24-89;66;11;UA 4a;J24;89;AS;Éclat laminaire;Burins dièdres;Turonien inférieur Cher ?;;;
J24-90;67;11;UA 4a;J24;90;AS;Lame;Burins dièdres;Aurillac;;;
J24-91;68;11;UA 4a;J24;91;AS;Lame;Burins dièdres;Aurillac;;;
J25-68;69;11;UA 4a;J25;68;AS;Lame;Burins dièdres;Aurillac;;;
J25-78;70;11;UA 4a;J25;78;AS;Lame;Burins sur troncature;Indéterminée;;;
K25-83;71;11;UA 4a;K25;83;AS;Lame;Burins dièdres;Aurillac;;;
K25-519;72;11;UA 4a;K25;519;AS;Éclat;Burins dièdres;Chalosse;;;
I26-507;73;11;UA 4a;I26;507;AS;Éclat laminaire;Burins dièdres;Aurillac;;;
?-68;74;11;UA 4a;?;68;AS;Éclat laminaire;Burins dièdres;Aurillac;;;
?-69;75;11;UA 4a;?;69;AS;Petite lame;Burins dièdres;Aurillac;;;
?-75;76;11;UA 4a;?;75;AS;Lame;Autres burins;Chalosse ?;;;
J25-106;77;11;UA 4a;J25;106;AS;Petite lame;Perçoirs/Becs;Brûlé;;;
K22-35;78;11;UA 4a;K22;35;AS;Lame;Lames/É. laminaires retouchés/appointés;Aurillac;;;
K23-58;79;11;UA 4a;K23;58;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien gris/noir;;;
K23-107;81;11;UA 4a;K23;107;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien blond;;;
K23-257;82;11;UA 4a;K23;257;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien blond;;;
K24-113;83;11;UA 4a;K24;113;AS;Lame;Lames/É. laminaires retouchés/appointés;Turonien inférieur Cher;;;
K24-116;84;11;UA 4a;K24;116;AS;Lame;Lames/É. laminaires retouchés/appointés;Bergeracois;;;
K24-117;85;11;UA 4a;K24;117;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien blond;;;
K24-120;86;11;UA 4a;K24;120;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien gris/noir;;;
K24-224;87;11;UA 4a;K24;224;AS;Lame;Lames/É. laminaires retouchés/appointés;Aurillac;;;
K25-273;88;11;UA 4a;K25;273;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien gris/noir;;;
K25-511;89;11;UA 4a;K25;511;AS;Lame;Lames/É. laminaires retouchés/appointés;Aurillac ?;;;
K25-515;90;11;UA 4a;K25;515;AS;Lame;Pièces tronquées;Aurillac ?;;;
K25-516;91;11;UA 4a;K25;516;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien gris/noir;;;
J24-60;92;lim 10/11;UA 4a;J24;60;AS;Lame;Lames/É. laminaires retouchés/appointés;Indéterminée;;;
J24-87;93;11;UA 4a;J24;87;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien gris/noir;;;
J25-71;94;11;UA 4a;J25;71;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien ?;;;
J25-77;95;11;UA 4a;J25;77;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien;;;
J25-79;96;11;UA 4a;J25;79;AS;Lame;Lames/É. laminaires retouchés/appointés;Aurillac;;;
J25-271;97;11;UA 4a;J25;271;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien;;;
I26-503;98;11;UA 4a;I26;503;AS;Éclat laminaire;Lames/É. laminaires retouchés/appointés;Sénonien gris/noir;;;
?-76;99;11;UA 4a;?;76;AS;Lame;Lames/É. laminaires retouchés/appointés;Chalosse;;;
?-79;100;11;UA 4a;?;79;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien;;;
?-84;101;11;UA 4a;?;84;AS;Lame;Lames/É. laminaires retouchés/appointés;Aurillac;;;
?-89;102;11;UA 4a;?;89;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien;;;
K23-97;103;11;UA 4a;K23;97;AS;Lame;Lames/É. laminaires retouchés/appointés;Aurillac;;;
K25-276;104;11;UA 4a;K25;276;AS;Lame;Lames/É. laminaires retouchés/appointés;Aurillac;;;
K22-39;105;11;UA 4a;K22;39;AS;Lame;Lames/É. laminaires retouchés/appointés;Aurillac;;;
K25-196;106;11;UA 4a;K25;196;AS;Lame;Lames/É. laminaires retouchés/appointés;Aurillac ?;;;
J25-111;107;11;UA 4a;J25;111;AS;Lame;Lames/É. laminaires retouchés/appointés;Aurillac;;;
J23-17;108;11;UA 4a;J23;17;AS;Lame;Grattoirs simples sur support retouché;Sénonien gris/noir ?;;;
J25-72;109;11;UA 4a;J25;72;AS;Petite lame;Pièces tronquées;Indéterminée;;;
?-87;110;11;UA 4a;?;87;AS;Petite lame;Pièces tronquées;Indéterminée;;;
?-88;111;11;UA 4a;?;88;AS;Éclat lamellaire;Pièces tronquées;Indéterminée;;;
?-96;112;11;UA 4a;?;96;AS;Lamelle;Pièces tronquées;Aurillac;;;
?-109;113;11;UA 4a;?;109;AS;Lamelle;Pièces tronquées;Sénonien blond ?;;;
?-92;114;11;UA 4a;?;92;AS;Lamelle;Pièces tronquées;Indéterminée;;;
?-82;115;11;UA 4a;?;82;AS;Lamelle;Lamelles/É. lamellaires retouchés/appointés;Aurillac;;;
?-97;116;11;UA 4a;?;97;AS;Lamelle;Lamelles/É. lamellaires retouchés/appointés;Turonien inférieur Cher ?;;;
J25-87;117;11;UA 4a;J25;87;AS;Lamelle;Lamelles/É. lamellaires retouchés/appointés;Sénonien;;;
J23-14;118;11;UA 4a;J23;14;AS;Éclat;Éclats retouchés;Sénonien;;;
K25-270;119;11;UA 4a;K25;270;AS;Éclat;Éclats retouchés;Sénonien ?;;;
K23-109;120;11;UA 4a;K23;109;AS;Éclat;Éclats retouchés;Indéterminée;;;
K23-260;121;11;UA 4a;K23;260;AS;Éclat;Éclats retouchés;Sénonien;;;
?-108;122;11;UA 4a;?;108;AS;Éclat;Éclats retouchés;Indéterminée;;;
J25-108;123;11;UA 4a;J25;108;AS;Éclat;Éclats retouchés;Indéterminée;;;
K23-69;124;11;UA 4a;K23;69;AS;Éclat;Éclats retouchés;Sénonien gris/noir;;;
K23-101;125;11;UA 4a;K23;101;AS;Éclat;Éclats retouchés;Sénonien gris/noir;;;
I26-504;126;11;UA 4a;I26;504;AS;Éclat;Pièces tronquées;Tertiaire;;;
?-115;127;11;UA 4a;?;115;AS;Éclat;Fragments d'outils;Aurillac;;;
K25-148;128;11;UA 4a;K25;148;AS;Éclat;Éclats retouchés;Sénonien;;;
K25-149;129;11;UA 4a;K25;149;AS;Éclat;Pièces tronquées;Sénonien gris/noir ?;;;
K25-518;130;11;UA 4a;K25;518;AS;Éclat;Fragments d'outils;Sénonien;;;
K25-612;131;11;UA 4a;K25;612;AS;Éclat;Éclats retouchés;Sénonien;;;
J25-274;132;11;UA 4a;J25;274;AS;Éclat;Perçoirs/Becs;Indéterminée;;;
?-91;133;11;UA 4a;?;91;AS;Éclat;Éclats retouchés;Fumélois;;;
?-93;134;11;UA 4a;?;93;AS;Éclat;Éclats retouchés;Indéterminée;;;
?-107;135;11;UA 4a;?;107;AS;Éclat;Fragments d'outils;Indéterminée;;;
?-114;136;11;UA 4a;?;114;AS;Éclat;Éclats retouchés;Indéterminée;;;
J25-112;137;11;UA 4a;J25;112;AS;Éclat lamellaire;Lamelles/É. lamellaires retouchés/appointés;Aurillac;;;
K25-142;138;11;UA 4a;K25;142;AS;Lamelle;Lamelles/É. lamellaires retouchés/appointés;Sénonien gris/noir;;;
?-9;139;11;UA 4a;?;9;AS;Lamelle;Lamelles/É. lamellaires retouchés/appointés;Sénonien ?;;;
?-13;140;11;UA 4a;?;13;AS;Lamelle;Lamelles/É. lamellaires retouchés/appointés;Sénonien ?;;;
?-27;141;11;UA 4a;?;27;AS;Lamelle;Lamelles/É. lamellaires retouchés/appointés;Aurillac;;;
?-36;142;11;UA 4a;?;36;AS;Lamelle;Lamelles/É. lamellaires retouchés/appointés;Indéterminée;;;
?-55;143;11;UA 4a;?;55;AS;Lamelle;Lamelles/É. lamellaires retouchés/appointés;Aurillac;;;
?-77;144;11;UA 4a;?;77;AS;Lamelle;Lamelles/É. lamellaires retouchés/appointés;Sénonien;;;
?-105;145;11;UA 4a;?;105;AS;Lamelle;Lamelles/É. lamellaires retouchés/appointés;Sénonien;;;
J23-109;146;13a;UA 4b;J23;109;AS;Lamelle;Armatures à dos retouchées;Sénonien blond ?;;;
J23-7;147;11;UA 4a;J23;7;AS;Chute de burin;Armatures à dos simples;Sénonien;;;
J23-16;148;11;UA 4a;J23;16;AS;Lamelle;Armatures à dos tronquées;Sénonien;;;
J24-42;149;11;UA 4a;J24;42;AS;Lamelle;Armatures à dos tronquées;Aurillac ?;;;
J24-53;150;11;UA 4a;J24;53;AS;Lamelle;Armatures à dos tronquées;Sénonien;;;
J24-59;151;11;UA 4a;J24;59;AS;Indéterminé;Fragments d'outils;Indéterminée;;;
J24-65;152;11;UA 4a;J24;65;AS;Lamelle;Armatures à dos retouchées;Indéterminée;;;
J24-80;153;11;UA 4a;J24;80;AS;Lamelle;Armatures à dos simples;Indéterminée;;;
J24-81;154;11;UA 4a;J24;81;AS;Lamelle;Lamelles scalènes;Indéterminée;;;
J24-84;155;11;UA 4a;J24;84;AS;Lamelle;Armatures à dos simples;Sénonien;;;
J25-66;156;11;UA 4a;J25;66;AS;Lamelle;Armatures à dos simples;Bergeracois ?;;;
J25-80;157;11;UA 4a;J25;80;AS;Lamelle;Armatures à dos simples;Sénonien;;;
J25-84;158;11;UA 4a;J25;84;AS;Lamelle;Armatures à dos retouchées;Sénonien ?;;;
J25-107;159;11;UA 4a;J25;107;AS;Lamelle;Armatures à dos retouchées;Grain de mil ?;;;
J25-267;160;11;UA 4a;J25;267;AS;Lamelle;Armatures à dos retouchées;Sénonien ?;;;
J25-272;161;11;UA 4a;J25;272;AS;Lamelle;Armatures à dos retouchées;Indéterminée;;;
K22-29;162;11;UA 4a;K22;29;AS;Lamelle;Armatures à dos retouchées;Infralias ?;;;
K23-85;163;11;UA 4a;K23;85;AS;Lamelle;Armatures à dos tronquées;Aurillac;;;
K23-89;164;11;UA 4a;K23;89;AS;Lamelle;Armatures à dos simples;Aurillac ?;;;
K23-99;165;11;UA 4a;K23;99;AS;Lamelle;Armatures à dos simples;Sénonien;;;
K23-103;166;11;UA 4a;K23;103;AS;Lamelle;Armatures à dos retouchées;Sénonien;;;
K23-258;168;11;UA 4a;K23;258;AS;Lamelle;Armatures à dos retouchées;Bergeracois ?;;;
K23-272;169;11;UA 4a;K23;272;AS;Lamelle;Armatures à dos retouchées;Indéterminée;;;
K23-274;170;11;UA 4a;K23;274;AS;Lamelle;Lamelles scalènes;Aurillac ?;;;
K24-91;171;11;UA 4a;K24;91;AS;Lamelle;Armatures à dos retouchées;Sénonien ?;;;
K24-103;172;11;UA 4a;K24;103;AS;Lamelle;Armatures à dos tronquées;Indéterminée;;;
K24-501;173;11;UA 4a;K24;501;AS;Lamelle;Armatures à dos simples;Sénonien ?;;;
K24-105;174;11;UA 4a;K24;105;AS;Lamelle;Armatures à dos simples;Turonien inférieur Cher;;;
K24-112;175;11;UA 4a;K24;112;AS;Lamelle;Armatures à dos tronquées;Indéterminée;;;
K24-118;176;11;UA 4a;K24;118;AS;Lamelle;Armatures à dos tronquées;Indéterminée;;;
K24-244;177;11;UA 4a;K24;244;AS;Lamelle;Armatures à dos retouchées;Indéterminée;;;
K24-248;178;11;UA 4a;K24;248;AS;Lamelle;Armatures à dos retouchées;Sénonien;;;
K24-331;179;11;UA 4a;K24;331;AS;Lamelle;Armatures à dos retouchées;Aurillac;;;
K25-138;180;11;UA 4a;K25;138;AS;Lamelle;Armature à dos partiel;Indéterminée;;;
K25-139;181;11;UA 4a;K25;139;AS;Lamelle;Armatures à dos tronquées;Aurillac ?;;;
K25-146;182;11;UA 4a;K25;146;AS;Lamelle;Armatures à dos simples;Sénonien ?;;;
K25-155;183;11;UA 4a;K25;155;AS;Lamelle;Armatures à dos simples;Bergeracois;;;
K25-192;184;11;UA 4a;K25;192;AS;Lamelle;Armatures à dos tronquées;Indéterminée;;;
K25-286;185;11;UA 4a;K25;286;AS;Lamelle;Armatures à dos simples;Aurillac ?;;;
?-1;186;11;UA 4a;?;1;AS;Lamelle;Armature à dos partiel;Indéterminée;;;
?-2;187;11;UA 4a;?;2;AS;Lamelle;Armatures à dos simples;Aurillac;;;
?-3;188;11;UA 4a;?;3;AS;Lamelle;Armatures à dos simples;Aurillac;;;
?-4;189;11;UA 4a;?;4;AS;Lamelle;Armatures à dos simples;Sénonien;;;
?-6;190;11;UA 4a;?;6;AS;Lamelle;Armature à dos partiel;Sénonien;;;
?-7;191;11;UA 4a;?;7;AS;Lamelle;Armature à dos partiel;Sénonien ?;;;
?-8;192;11;UA 4a;?;8;AS;Lamelle;Armatures à dos retouchées;Sénonien ?;;;
?-10;193;11;UA 4a;?;10;AS;Lamelle;Armatures à dos tronquées;Indéterminée;;;
?-12;194;11;UA 4a;?;12;AS;Lamelle;Armatures à dos retouchées;Indéterminée;;;
?-15;195;11;UA 4a;?;15;AS;Lamelle;Armatures à dos tronquées;Indéterminée;;;
?-16;196;11;UA 4a;?;16;AS;Lamelle;Armature à dos partiel;Sénonien;;;
?-17;197;11;UA 4a;?;17;AS;Lamelle;;Sénonien ?;;;
?-18;198;11;UA 4a;?;18;AS;Lamelle;Armatures à dos tronquées;Bergeracois ?;;;
?-19;199;11;UA 4a;?;19;AS;Lamelle;Armatures à dos retouchées;Sénonien ?;;;
?-20;200;11;UA 4a;?;20;AS;Lamelle;Lamelles scalènes;Aurillac;;;
?-21;201;11;UA 4a;?;21;AS;Lamelle;Armatures à dos retouchées;Aurillac;;;
?-22;202;11;UA 4a;?;22;AS;Éclat lamellaire;Armatures à dos simples;Sénonien;;;
?-23;203;11;UA 4a;?;23;AS;Lamelle;Armatures à dos retouchées;Fumélois;;;
?-24;204;11;UA 4a;?;24;AS;Lamelle;Armatures à dos retouchées;Indéterminée;;;
?-25;205;11;UA 4a;?;25;AS;Lamelle;Armatures à dos retouchées;Indéterminée;;;
?-26;206;11;UA 4a;?;26;AS;Lamelle;Armatures à dos simples;Indéterminée;;;
?-28;207;11;UA 4a;?;28;AS;Lamelle;Armatures à dos simples;Indéterminée;;;
?-29;208;11;UA 4a;?;29;AS;Lamelle;Armatures à dos retouchées;Indéterminée;;;
?-30;209;11;UA 4a;?;30;AS;Lamelle;Armatures à dos retouchées;Aurillac ?;;;
?-31;210;11;UA 4a;?;31;AS;Lamelle;Armatures à dos simples;Tertiaire ?;;;
?-32;211;11;UA 4a;?;32;AS;Lamelle;Armatures à dos tronquées;Aurillac;;;
?-33;212;11;UA 4a;?;33;AS;Lamelle;Armatures à dos tronquées;Aurillac ?;;;
?-34;213;11;UA 4a;?;34;AS;Lamelle;Armatures à dos tronquées;Aurillac ?;;;
?-35;214;11;UA 4a;?;35;AS;Lamelle;Armatures à dos simples;Sénonien;;;
?-37;215;11;UA 4a;?;37;AS;Lamelle;Armatures à dos tronquées;Sénonien ?;;;
?-39;216;11;UA 4a;?;39;AS;Lamelle;Armatures à dos simples;Aurillac;;;
?-40;217;11;UA 4a;?;40;AS;Lamelle;Armatures à dos simples;Sénonien ?;;;
?-41;218;11;UA 4a;?;41;AS;Lamelle;Armatures à dos tronquées;Aurillac ?;;;
?-42;219;11;UA 4a;?;42;AS;Lamelle;Armatures à dos simples;Aurillac;;;
?-43;220;11;UA 4a;?;43;AS;Lamelle;Lamelles scalènes;Indéterminée;;;
?-44;221;11;UA 4a;?;44;AS;Lamelle;Armatures à dos retouchées;Indéterminée;;;
?-45;222;11;UA 4a;?;45;AS;Lamelle;Armatures à dos retouchées;Aurillac;;;
?-46;223;11;UA 4a;?;46;AS;Lamelle;Armatures à dos retouchées;Tertiaire ?;;;
?-47;224;11;UA 4a;?;47;AS;Lamelle;Armatures à dos simples;Indéterminée;;;
?-48;225;11;UA 4a;?;48;AS;Lamelle;Armatures à dos simples;Sénonien ?;;;
?-49;226;11;UA 4a;?;49;AS;Lamelle;Armatures à dos simples;Indéterminée;;;
?-50;227;11;UA 4a;?;50;AS;Lamelle;Armatures à dos retouchées;Indéterminée;;;
?-51;228;11;UA 4a;?;51;AS;Lamelle;Armatures à dos retouchées;Indéterminée;;;
?-52;229;11;UA 4a;?;52;AS;Lamelle;Armatures à dos simples;Indéterminée;;;
?-53;230;11;UA 4a;?;53;AS;Lamelle;Armatures à dos simples;Aurillac ?;;;
?-54;231;11;UA 4a;?;54;AS;Lamelle;Armatures à dos tronquées;Indéterminée;;;
?-56;232;11;UA 4a;?;56;AS;Lamelle;Armatures à dos simples;Sénonien ?;;;
?-57;233;11;UA 4a;?;57;AS;Lamelle;Armatures à dos retouchées;Indéterminée;;;
?-58;234;11;UA 4a;?;58;AS;Lamelle;Lamelles scalènes;Indéterminée;;;
?-59;235;11;UA 4a;?;59;AS;Lamelle;Armatures à dos simples;Indéterminée;;;
?-61;236;11;UA 4a;?;61;AS;Lamelle;Armatures à dos retouchées;Aurillac;;;
?-62;237;11;UA 4a;?;62;AS;Lamelle;Armatures à dos tronquées;Indéterminée;;;
?-63;238;11;UA 4a;?;63;AS;Lamelle;Armatures à dos simples;Indéterminée;;;
?-64;239;11;UA 4a;?;64;AS;Lamelle;Armatures à dos retouchées;Indéterminée;;;
?-65;240;11;UA 4a;?;65;AS;Lamelle;Armatures à dos retouchées;Aurillac ?;;;
?-80;241;11;UA 4a;?;80;AS;Lamelle;Armatures à dos retouchées;Indéterminée;;;
?-98;242;11;UA 4a;?;98;AS;Lamelle;Armatures à dos simples;Sénonien;;;
?-99;243;11;UA 4a;?;99;AS;Éclat lamellaire;Armatures à dos simples;Sénonien;;;
?-104;244;11;UA 4a;?;104;AS;Éclat lamellaire;Armature à dos partiel;Aurillac;;;
?-113;245;11;UA 4a;?;113;AS;Lamelle;Armatures à dos retouchées;Indéterminée;;;
?-T246;246;11;UA 4a;?;T246;AS;Lamelle;Armatures à dos tronquées;Indéterminée;;;
K24-502;247;11;UA 4a;K24;502;AS;Lamelle;Armatures à dos simples;Indéterminée;;;
K24-503;248;11;UA 4a;K24;503;AS;Lamelle;Armatures à dos retouchées;Aurillac;;;
J26-501;249;11;UA 4a;J26;501;AS;Lamelle;Armatures à dos tronquées;Sénonien;;;
K25-501;250;11;UA 4a;K25;501;AS;Lamelle;Armatures à dos retouchées;Sénonien ?;;;
K25-502;251;11;UA 4a;K25;502;AS;Lamelle;Armatures à dos retouchées;Sénonien ?;;;
K25-504;252;11;UA 4a;K25;504;AS;Lamelle;Armatures à dos retouchées;Aurillac;;;
K25-505;253;11;UA 4a;K25;505;AS;Lamelle;Armatures à dos tronquées;Indéterminée;;;
K25-506;254;11;UA 4a;K25;506;AS;Lamelle;Armatures à dos retouchées;Indéterminée;;;
K25-507;255;11;UA 4a;K25;507;AS;Lamelle;Armatures à dos retouchées;Indéterminée;;;
K25-513;256;11;UA 4a;K25;513;AS;Lamelle;Armatures à dos retouchées;Sénonien;;;
K25-514;257;11;UA 4a;K25;514;AS;Lamelle;Armatures à dos retouchées;Aurillac;;;
K23-75;258;11;UA 4a;K23;75;AS;Lame;Lames/É. laminaires retouchés/appointés;Indéterminée;;;
J23-117;259;11;UA 4a;J23;117;AS;Lame;Lames/É. laminaires retouchés/appointés;Sénonien;;;
K25-T260;260;11;UA 4a;K25;T260;AS;Petite lame;Lames/É. laminaires retouchés/appointés;Sénonien;;;
?-T261;261;11;UA 4a;?;T261;AS;Éclat;Éclats retouchés;Indéterminée;;;
?-T262;262;11;UA 4a;?;T262;AS;Éclat laminaire;Lames/É. laminaires retouchés/appointés;Sénonien ?;;;
?-T263;263;11;UA 4a;?;T263;AS;Lame;Lames/É. laminaires retouchés/appointés;Indéterminée;;;
?-T264;264;11;UA 4a;?;T264;AS;Éclat;Éclats retouchés;Sénonien gris/noir;;;
?-T265;265;11;UA 4a;?;T265;AS;Éclat;Fragments d'outils;Bergeracois;;;
?-T266;266;11;UA 4a;?;T266;AS;Indéterminé;Fragments d'outils;Sénonien gris/noir;;;
?-T267;267;11;UA 4a;?;T267;AS;Indéterminé;Fragments d'outils;Aurillac;;;
?-T268;268;11;UA 4a;?;T268;AS;Indéterminé;Fragments d'outils;Indéterminée;;;
?-T269;269;11;UA 4a;?;T269;AS;Éclat lamellaire;Lamelles/É. lamellaires retouchés/appointés;Indéterminée;;;
?-T270;270;11;UA 4a;?;T270;AS;Éclat lamellaire;Lamelles/É. lamellaires retouchés/appointés;Aurillac;;;
?-T271;271;11;UA 4a;?;T271;AS;Lamelle;Lamelles/É. lamellaires retouchés/appointés;Aurillac;;;
K25-T272;272;11;UA 4a;K25;T272;AS;Lamelle;Lamelles/É. lamellaires retouchés/appointés;Indéterminée;;;
?-T273;273;11;UA 4a;?;T273;AS;Lamelle;Lamelles/É. lamellaires retouchés/appointés;Sénonien;;;
?-T274;274;11;UA 4a;?;T274;AS;Éclat lamellaire;Armature à dos partiel;Sénonien blond ?;;;
?-T275;275;11;UA 4a;?;T275;AS;Chute de burin;Armatures à dos simples;Indéterminée;;;
?-T276;276;11;UA 4a;?;T276;AS;Lamelle;Armature à dos partiel;Sénonien;;;
?-100;277;11;UA 4a;?;100;AS;Lamelle;Armatures à dos retouchées;Infralias;;;
K23-81;278;11;UA 4a;K23;81;AS;Bloc/Rognon;Nucléus lamellaires;Indéterminée;;;
K23-261;279;11;UA 4a;K23;261;AS;Indéterminé;Nucléus lamellaires;Fumélois;;;
K23-71;280;11;UA 4a;K23;71;AS;Éclat;Nucléus lamellaires;Bergeracois;;;
K23-264;281;11;UA 4a;K23;264;AS;Galet;Nucléus lamellaires;Aurillac;;;
